date	run_id	run_time	initial_trips_average	initial_trips_variance	interm_trips_average	interm_trips_variance	final_trips_average	final_trips_variance	tour_eff_ratio
2022-01-11 12:27:43.388471	central_hub_grid14x7_interd1_LAR_tbf_nb5_bd1_bi1_bint-1_e-6.0_ms100000	0.10958456993103027	1.8126671903726892	4.120545513831565	1.4204773826912744	3.4348312454523313	1.5160529293294924	2.5318286758834008	0.2780702400881611
2022-01-11 13:49:35.693821	central_hub_grid14x7_interd1_LAR_tbf_nb5_bd1_bi1_bint-1_e-6.0_ms100000	0.22095799446105957	1.8729758093676885	4.225931868196299	1.4035056809000512	3.4259796697565297	1.5467712346012465	2.6319392309747545	0.3238646439041417
2022-01-11 16:18:25.800016	central_hub_grid14x7_interd1_LAR_tbf_nb5_bd1_bi1_bint-1_e-6.0_ms100000	0.1382918357849121	1.8729758093676874	4.225931868196301	1.4377283437392667	3.5107472866728844	1.2217052498736862	1.5697533205323841	0.2874389900906372
2022-01-12 13:07:09.679162	central_hub_grid14x7_interd1_LAR_tbf_nb5_bd1_bi1_bint-1_e-6.0_ms100000	0.19531583786010742	1.967490835380824	4.833472587967119	1.4061048779778225	3.4339458172910415	1.5490451182364873	2.6396187952950747	0.32770729830701484
2022-01-12 14:33:36.597982	central_hub_grid14x7_interd1_LAR_tbf_nb5_bd1_bi1_bint-1_e-6.0_ms100000	0.15701007843017578	1.967490835380824	4.833472587967119	1.4061048779778225	3.4339458172910415	1.5490451182364873	2.6396187952950747	0.32770729830701484
2022-01-12 14:36:27.474526	central_hub_grid14x7_interd1_LAR_alt3_nb5_bi1_bint-1_e-6.0_ms100000	0.3113703727722168	1.9674908353808245	4.83347258796712	9.210451321976873	90.14871099574687	nan	nan	nan
2022-01-12 14:41:44.938165	central_hub_grid14x7_interd1_LAR_alt3_nb5_bi1_bint-1_e-6.0_ms100000	0.2099747657775879	1.9674908353808245	4.83347258796712	9.210451321976873	90.14871099574687	2.9981191400176446	11.37088201054443	inf
2022-01-12 14:45:23.501045	central_hub_grid14x7_interd1_LAR_alt3_nb5_bi1_bint-1_e-6.0_ms100000	0.18099188804626465	1.9674908353808245	4.83347258796712	9.210451321976873	90.14871099574687	2.9981191400176446	11.37088201054443	0.8640212134312446
2022-01-12 14:54:15.412545	central_hub_grid14x7_interd1_LAR_alt3_nb5_bi1_bint-1_e-6.0_ms100000	0.10621976852416992	1.9674908353808245	4.83347258796712	9.210451321976873	90.14871099574687	2.9981191400176446	11.37088201054443	0.8640212134312446
2022-01-12 15:02:10.941577	central_hub_grid14x7_interd1_LAR_alt3_nb5_bi1_bint-1_e-6.0_ms100000	0.4590010643005371	1.9674908353808245	4.83347258796712	8.487381155982575	79.76452685223857	3.602495462034906	14.079527021876816	0.8270582743597971
